_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6473.512879,5511.817486,1029.007775,7156.006987,562.896971,565.4891688,583.4457987,596.0075503,621.7523623,662.5986719,698.2621284,785.4992043,816.7527166,856.0846921,882.3542373,883.7307282,901.2286058,872.6333709,832.0606949,740.9298212,646.1834105,537.5509278,390.7249672,200.7311635,18.02775638,207.1352215,407.3254227,583.4423708,741.9029586,845.8096713,816.1225398,583.0008576,8426.043556,588.9006707,878.444079,953.3252331,906.744727,792.5477904,621.4853176,443.1365478,324.519645,339.1666257,455.1889717,583.5357744,669.0201791,721.754806,726.4881279,738.231671,682.490293,586.6378781,533.9447537,434.8758444,338.1863392,266.4000751,181.0248602,95.29428105,56.04462508,19.6977156,74.10802925,98.97979592,10277,35965.2668,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,567.5649743,568.0396113,584.1318344,585.2187625,605.7565518,664.4343459,702.4884341,769.1098751,792.4645102,840.1452255,873.0143183,892.0454024,879.0523306,876.9127665,854.4588931,778.4015673,684.1871089,524.452095,386.4673337,200.2498439,16.40121947,193.3132173,390.0461511,578.6752112,699.331824,834.4752842,819.4125945,568.4804306,8426.043556,589.2927965,897.2903655,984.4003251,905.2872472,813.3387978,633.8809036,494.9545434,364.8917648,368.4019544,449.0712638,563.4474243,678.3524158,749.2963366,757.4919141,708.5605126,655.5890481,614.3850584,507,410.8296484,317.5106297,245.4159734,196.0841656,122.5765067,55.15432893,48.01041554,109.2382717,144.554488,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,606.2672678,578.4669394,559.8660554,563.8483839,628.472752,668.8647098,754.2048793,803.0354911,824.1510784,861.1678118,882.0005669,904.5540338,877.8382539,858.5505227,823.1239275,746.3859591,649.0069337,534.2143764,367.9673899,218.7692849,96.04686356,215.4065923,392.7594684,575.1747561,714.5362132,807.3078719,785.7766858,548.8096209,8426.043556,555.7139552,862.5589835,875.4267531,838.9642424,714.8286508,551.5305975,398.7229615,290.800619,306.5371103,440.3203379,569.8991139,689.6673111,722.1087176,727.103844,697.4754476,627.2001276,584.9111044,483.1976821,398.8032096,313.1293662,253.8109533,202.410474,143.1782106,77.66595136,38.94868419,83.18653737,154.0551849,10277,35965.2668,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,592.1908476,564.0141842,546.561067,561.4846391,609.0820963,666.4540494,720.9778083,793.237039,813.1814066,852.8212005,875.0417133,904.509812,887.7893894,871.9644488,854.7397265,786.2804843,696.0783002,561.5015583,412.1128486,258.7856256,97.73944956,177.4852107,370.8638564,561.1889165,678.1754935,792.0233582,777.9781488,538.6770832,8426.043556,557.2826931,857.8169968,907.3588044,842.857046,734.6849665,575.1043384,404.3612246,278.1887848,316.2910052,413.1888188,554.3798337,656.2926177,729.5375247,743.4904169,697.9813751,643.944097,609.2692344,500.2969118,410.8235631,358.9428924,275.6555822,225.0088887,160.9534094,83.18653737,30.08321791,48.60041152,113.2077736,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,650.1115289,614.5868531,582.7417953,602.536306,626.2020441,682.6778157,740.5923305,814.4752912,843.992891,898.9621794,925.9357429,936.0555539,931.4531658,912.4675337,863.3064346,776.1629983,675.2140401,533.158513,367.4588412,183.0027322,60.20797289,214.0140182,402.8001986,594.4282968,741.2057744,825.1278689,807.4379233,570.1692731,8426.043556,580.0862005,869.5038815,938.69111,876.0667783,754.9072791,584.2884562,442.7471061,315.0634857,324.1805053,428.8554535,559.6043245,648.0493808,718.5241819,727.7341548,708.5936776,651.3877493,588.238897,519.9855767,420.4592727,338.2129507,285.7008925,211.2652361,150.4725889,92.34717104,6.708203932,66.73080248,139.2300255,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,692.2752343,656.1440391,622.2901253,634.7290761,664.5607572,720.4089117,764.7875522,858.5394575,884.2652317,924.7405041,969.5798059,946.9324158,965.989648,932.8772695,860.409205,780.5331511,683.5495593,522.9474161,378.4507894,187.8563281,110.3086579,259.9769221,440.1238462,626.0391362,763.1677404,831.3904017,809.197133,588.7274412,8426.043556,593.6876283,850.590971,933.2952373,884.6835592,725.7582242,580.5876334,439.7556139,330.7113545,345.6153932,475.1305084,587.3406167,662.4899999,715.7548463,719.7888579,708.0112993,664.1159537,568.4100632,522.0593836,430.010465,362.2706171,294.0017007,198.9195817,139.5600229,88.29496022,5.099019514,70.60453243,137.5681649,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,561.0962484,586.3761591,616.9359772,640.794819,663.6927,719.0445049,774.6186158,822.7059013,857.2572543,886.0863389,915.1808564,931.2598993,908.1459134,881.7119711,856.3159464,768.495283,652.6078455,494.8989796,335.6307495,156.9840756,68.62215386,256.9124364,460.7613265,649.2657391,755.2622061,866.8108213,844.5525443,569.3478726,8426.043556,572.839419,886.2759164,962.4951948,879.3281526,784.3723606,647.6928284,520.603496,423.6083096,423.5150529,508.5754615,605.594749,716.5507658,767.9231732,778.3315489,710.9043536,657.3887739,617.3078648,497.8554007,400.2161916,310.04032,241.8532613,179.9027515,102.859127,31.78049716,48.09365863,111.3642672,110.1135777,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,639.1752498,613.0587248,593.7423684,621.8239301,686.8041933,735.5848014,796.821812,868.9447623,885.663593,926.3174402,953.1384999,951.4967157,948.5504731,904.8414226,828.748454,747.3586823,645.886987,525.3008662,357.7541055,205.080472,133.6637572,256.2225595,420.1737736,595.471242,757.9564631,821.3677617,788.5258398,580.0310337,8426.043556,582.5160942,856.2038309,910.0928524,901.2552358,735.8131556,599.9083263,480.7036509,379.3283538,376.0332432,494.6594788,601.9277365,676.701559,725.3357843,733.5734455,732.48686,669.2690042,588.4122704,521.4460662,427.1030321,349.8128071,267.0168534,171.3971995,98.08669635,33.24154028,53.75872022,121.7579566,171.4059509,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,587.0195908,562.2561694,554.1705514,592.5242611,646.846195,720.034027,774.233169,837.1815813,871.2485294,891.9641248,919.0484209,935.0946476,901.3684042,883.1268312,854.3535568,787.9219504,684.4939737,543.2982606,391.3106183,258.6522762,155.724115,231.7951682,421.9004622,578.3709882,677.5876327,779.9647428,773.6213544,525.594901,8426.043556,530.7372231,820.6637557,879.2087352,794.5117998,707.3400879,555.8282109,404.3278373,304.3566986,351,473.9039987,591.1412691,692.0122831,747.22152,762.3417869,697.8782129,656.9330255,622.2515568,495.9969758,415.8665651,343.6291606,271.4884896,228.659135,167.1705716,91.67878708,32.24903099,60.20797289,144.1561653,10277,35858.50951,128,7488.47174
6473.512879,5511.817486,1029.007775,7156.006987,650.1576732,619.6684597,593.5259051,597.5491612,649.8384415,700.1271313,762.2866915,847.4910029,871.1630157,909.7219355,939.1320461,938.5009323,932.1464477,890.8630647,830.6250658,751.0166443,638.1222453,526.459875,356.4056677,188.0957203,121.0784869,257.0992026,438.1278352,599.2136514,772.8195132,828.1189528,798.8648196,586.7580421,8426.043556,587.2052452,857.0332549,918.1296205,900.4937534,747.2951224,593.5562315,461.9361428,347.1166951,348.810837,452.159264,564.1923431,650.5935751,707.2488954,716.4426006,710.9859352,656.1013641,583.246946,512.035155,440.290813,356.931366,298.1073632,214.0327078,154.2757272,94.15412896,9.486832981,61.40032573,106.51291,10277,35858.50951,128,7488.47174
